aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,adpctdif1,adpctdif2,chinr,clrcoeff,clrcounc,decnr,diffmaglim,distnr,exptime,field,magnr,magzpsci,magzpscirms,magzpsciunc,procstatus,programid,ranr,rcid,rfid,scibckgnd,sciinpseeing,scisigpix,sharpnr,sigmagnr
"","ZTF21aaqytjr2638405765515",false,7.2283882,true,"",8.242727279663086,"","","",1,false,-1,23.344392776489258,"",60392.40576389991,"ZTF21aaqytjr",2657394815515010000,2638405765515,186.4236641,"","ztf",0.12811900675296783,0.12349700182676315,5.285999774932861,-0.022873999550938606,0.00012194099690532312,7.228869438171387,19.025100708007812,2.3903872966766357,30,473,17.934999465942383,26.289400100708008,0.04265569895505905,0.00005063330172561109,"0",1,186.42320251464844,55,473120155,133.63999938964844,2.593100070953369,20.182600021362305,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2636402825515",false,7.2283882,false,"",587.4658203125,"","","",1,false,1,28.67215347290039,"",60390.40282410011,"ZTF21aaqytjr",2657394815515010000,2636402825515,186.4236641,"","ztf",0.1193080022931099,0.11432799696922302,5.285999774932861,-0.015323800034821033,0.0000501276008435525,7.228869438171387,19.713699340820312,2.3903872966766357,30,473,17.934999465942383,26.275100708007812,0.04026300087571144,0.00002671999936865177,"0",1,186.42320251464844,55,473120155,136.02999877929688,2.387500047683716,12.236599922180176,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2636359245515",false,7.2283882,true,"",1.2133008241653442,"","","",2,false,-1,22.10095977783203,"",60390.359247699846,"ZTF21aaqytjr",2657394815515010000,2636359245515,186.4236641,"","ztf",0.1206350028514862,0.11635900288820267,5.88100004196167,0.11088799685239792,0.000023137099560699426,7.228910446166992,19.7987003326416,2.90275502204895,30,473,17.56399917602539,26.229799270629883,0.031383998692035675,0.000014700000065204222,"0",1,186.4230499267578,55,473120255,242.50900268554688,2.7679998874664307,11.494400024414062,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2634373295515",false,7.2283882,true,"",2.3850016593933105,"","","",2,false,-1,22.906463623046875,"",60388.37329859985,"ZTF21aaqytjr",2657394815515010000,2634373295515,186.4236641,"","ztf",0.12243500351905823,0.10441400110721588,5.88100004196167,0.1161390021443367,0.00002501420021872036,7.228910446166992,19.881399154663086,2.90275502204895,30,473,17.56399917602539,26.243200302124023,0.032726798206567764,0.000015961999451974407,"0",1,186.4230499267578,55,473120255,243.9530029296875,2.2920000553131104,9.449620246887207,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2634330985515",false,7.2283882,false,"",1.128291368484497,"","","",1,false,1,22.105783462524414,"",60388.33098379988,"ZTF21aaqytjr",2657394815515010000,2634330985515,186.4236641,"","ztf",0.119937002658844,0.1198749989271164,5.285999774932861,-0.01758909970521927,0.000036574798286892474,7.228869438171387,19.97010040283203,2.3903872966766357,30,473,17.934999465942383,26.31909942626953,0.03661090135574341,0.000021108100554556586,"0",1,186.42320251464844,55,473120155,139.24400329589844,2.4921000003814697,9.076780319213867,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2680297415515",false,7.2283754,false,"",1.0652740001678467,"","","",1,false,1,22.97799301147461,"",60434.29741899995,"ZTF21aaqytjr",2683150275515010000,2680297415515,186.4236609,"","ztf",0.10417000204324722,0.0959789976477623,5.285999774932861,-0.056968700140714645,0.00001560989949211944,7.228869438171387,20.941499710083008,2.41623854637146,30,473,17.934999465942383,26.281400680541992,0.025491200387477875,0.000009873399903881364,"0",1,186.42320251464844,55,473120155,132.947998046875,1.780500054359436,4.419270038604736,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2680235305515",false,7.2283754,false,"",0.5100692510604858,"","","",2,false,1,21.665111541748047,"",60434.23530089995,"ZTF21aaqytjr",2683150275515010000,2680235305515,186.4236609,"","ztf",0.11676599830389023,0.10987000167369843,5.88100004196167,0.10964100062847137,0.000020593699446180835,7.228910446166992,20.605300903320312,2.924199104309082,30,473,17.56399917602539,26.2096004486084,0.029190899804234505,0.000013167399629310239,"0",1,186.4230499267578,55,473120255,240.61300659179688,1.7379000186920166,5.840939998626709,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2677346875515",false,7.2283754,false,"",11.023402214050293,"","","",2,false,1,24.979934692382812,"",60431.346874999814,"ZTF21aaqytjr",2683150275515010000,2677346875515,186.4236609,"","ztf",0.10941000282764435,0.09660500288009644,5.88100004196167,0.11057800054550171,0.00001879860064946115,7.228910446166992,20.528099060058594,2.924199104309082,30,473,17.56399917602539,26.20680046081543,0.027987999841570854,0.000011830999937956221,"0",1,186.4230499267578,55,473120255,239.29800415039062,1.6592999696731567,6.360420227050781,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2677290945515",false,7.2283754,false,"",2.3914473056793213,"","","",1,false,1,23.653404235839844,"",60431.29094910016,"ZTF21aaqytjr",2683150275515010000,2677290945515,186.4236609,"","ztf",0.10024499893188477,0.09408999979496002,5.285999774932861,-0.05123329907655716,0.000017790900528780185,7.228869438171387,20.89299964904785,2.41623854637146,30,473,17.934999465942383,26.318700790405273,0.027297399938106537,0.000011119899681943934,"0",1,186.42320251464844,55,473120155,139.4250030517578,1.8514000177383423,4.766849994659424,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2675254935515",false,7.2283754,false,"",80.5712890625,"","","",1,false,1,27.165254592895508,"",60429.25493060006,"ZTF21aaqytjr",2683150275515010000,2675254935515,186.4236609,"","ztf",0.11123199760913849,0.11368300020694733,5.285999774932861,-0.043467000126838684,0.000029949300369480625,7.228869438171387,20.491600036621094,2.41623854637146,30,473,17.934999465942383,26.319000244140625,0.03509049862623215,0.000018910599465016276,"0",1,186.42320251464844,55,473120155,138.2310028076172,2.3475000858306885,5.850210189819336,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2675229165515",false,7.2283754,false,"",0.8046456575393677,"","","",2,false,1,22.084566116333008,"",60429.22916670004,"ZTF21aaqytjr",2683150275515010000,2675229165515,186.4236609,"","ztf",0.1097560003399849,0.09769199788570404,5.88100004196167,0.11048900336027145,0.000014666199604107533,7.228910446166992,20.486900329589844,2.924199104309082,30,473,17.56399917602539,26.246400833129883,0.024748800322413445,0.00000932809962250758,"0",1,186.4230499267578,55,473120255,245.9510040283203,1.8072999715805054,6.576240062713623,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2669278515515",false,7.2283754,true,"",2.981269598007202,"","","",1,false,-1,22.487009048461914,"",60423.27851849981,"ZTF21aaqytjr",2683150275515010000,2669278515515,186.4236609,"","ztf",0.10932400077581406,0.10657099634408951,5.285999774932861,-0.029488200321793556,0.00009250979928765446,7.228869438171387,19.272600173950195,2.41623854637146,30,473,17.934999465942383,26.325700759887695,0.04489760100841522,0.00004266489850124344,"0",1,186.42320251464844,55,473120155,143.28700256347656,1.7441999912261963,22.19029998779297,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2664273635515",false,7.2283754,true,"",0.40905308723449707,"","","",2,false,-1,20.014183044433594,"",60418.2736343001,"ZTF21aaqytjr",2683150275515010000,2664273635515,186.4236609,"","ztf",0.12046299874782562,0.11147300153970718,5.88100004196167,0.10657600313425064,0.000043155599996680394,7.228910446166992,19.02560043334961,2.924199104309082,30,473,17.56399917602539,25.828100204467773,0.04200899973511696,0.000027637699531624094,"0",1,186.4230499267578,55,473120255,161.4250030517578,1.8039000034332275,16.684900283813477,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2664226685515",false,7.2283754,false,"",5.249597072601318,"","","",1,false,1,23.38990020751953,"",60418.226689800154,"ZTF21aaqytjr",2683150275515010000,2664226685515,186.4236609,"","ztf",0.11565300077199936,0.10476399958133698,5.285999774932861,-0.03341250121593475,0.000047027398977661505,7.228869438171387,19.605300903320312,2.41623854637146,30,473,17.934999465942383,26.137800216674805,0.0360369011759758,0.000023467700884793885,"0",1,186.42320251464844,55,473120155,118.4729995727539,2.128999948501587,12.219099998474121,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2662294965515",false,7.2283754,true,"",0.9800321459770203,"","","",1,false,-1,21.783353805541992,"",60416.29496529978,"ZTF21aaqytjr",2683150275515010000,2662294965515,186.4236609,"","ztf",0.1366250067949295,0.13314099609851837,5.285999774932861,-0.02256610058248043,0.000055393098591594025,7.228869438171387,19.817899703979492,2.41623854637146,30,473,17.934999465942383,26.314699172973633,0.03959650173783302,0.000028031399779138155,"0",1,186.42320251464844,55,473120155,136.91400146484375,3.428299903869629,8.118639945983887,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2662247365515",false,7.2283754,true,"",3.3584578037261963,"","","",2,false,-1,23.362478256225586,"",60416.24736109981,"ZTF21aaqytjr",2683150275515010000,2662247365515,186.4236609,"","ztf",0.11392199993133545,0.10227999836206436,5.88100004196167,0.11389199644327164,0.00001719959982438013,7.228910446166992,20.03849983215332,2.924199104309082,30,473,17.56399917602539,26.233600616455078,0.02699049934744835,0.000010896799722104333,"0",1,186.4230499267578,55,473120255,243.25999450683594,2.276700019836426,8.304909706115723,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2658338375515",false,7.2283754,true,"",11.39586353302002,"","","",1,false,-1,25.251659393310547,"",60412.338379600085,"ZTF21aaqytjr",2683150275515010000,2658338375515,186.4236609,"","ztf",0.10168000310659409,0.09785299748182297,5.285999774932861,-0.04603460058569908,0.000016541600416530855,7.228869438171387,20.680700302124023,2.41623854637146,30,473,17.934999465942383,26.288700103759766,0.026194199919700623,0.0000103446000139229,"0",1,186.42320251464844,55,473120155,134.74200439453125,1.8623000383377075,5.596960067749023,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2658303815515",false,7.2283754,true,"",13.96261978149414,"","","",2,false,-1,25.312652587890625,"",60412.30381939979,"ZTF21aaqytjr",2683150275515010000,2658303815515,186.4236609,"","ztf",0.11030799895524979,0.09384199976921082,5.88100004196167,0.10454799979925156,0.000015731000530649908,7.228910446166992,20.45800018310547,2.924199104309082,30,473,17.56399917602539,26.23200035095215,0.0255414005368948,0.000010016599844675511,"0",1,186.4230499267578,55,473120255,242.0489959716797,1.9012000560760498,6.292520046234131,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2656272365515",false,7.2283754,true,"",0.6164568066596985,"","","",1,false,-1,22.962116241455078,"",60410.272361100186,"ZTF21aaqytjr",2683150275515010000,2656272365515,186.4236609,"","ztf",0.09686899930238724,0.09138599783182144,5.285999774932861,-0.03965650126338005,0.00000605254990659887,7.228869438171387,21.58839988708496,2.41623854637146,240,473,17.934999465942383,28.56760025024414,0.01615240052342415,0.0000038938001125643495,"0",1,186.42320251464844,55,473120155,1109.7900390625,2.0901999473571777,16.11520004272461,0.5070000290870667,0.08900000154972076
