OBS:      59160.511  gp  22309.103  22309.103  16.629  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59160.512  rp  24110.752  793.275  16.545  0.036  None  Siding_Spring_1m  Sinistro  None
OBS:      59160.513  ip  30678.915  30678.915  16.283  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59166.469  up  4850.911  260.226  18.285  0.058  None  Siding_Spring_1m  Sinistro  None
OBS:      59166.471  gp  37498.009  357.781  16.065  0.010  None  Siding_Spring_1m  Sinistro  None
OBS:      59166.472  rp  1416.414  1416.414  19.622  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59166.473  ip  1968.678  1968.678  19.265  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59177.466  up  4145.952  269.947  18.456  0.071  None  Siding_Spring_1m  Sinistro  None
OBS:      59177.468  gp  31707.824  359.612  16.247  0.012  None  Siding_Spring_1m  Sinistro  None
OBS:      59177.469  rp  15427.933  242.110  17.029  0.017  None  Siding_Spring_1m  Sinistro  None
OBS:      59177.470  ip  14777.455  318.116  17.076  0.023  None  Siding_Spring_1m  Sinistro  None
OBS:      59191.412  up  4242.667  4242.667  18.431  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59191.414  gp  25460.844  397.888  16.485  0.017  None  Siding_Spring_1m  Sinistro  None
OBS:      59191.415  rp  12081.657  318.195  17.294  0.029  None  Siding_Spring_1m  Sinistro  None
OBS:      59191.417  ip  11525.337  372.686  17.346  0.035  None  Siding_Spring_1m  Sinistro  None
OBS:      59212.063  up  5712.847  5712.847  18.108  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59212.066  gp  18683.720  432.294  16.822  0.025  None  Siding_Spring_1m  Sinistro  None
OBS:      59212.067  rp  7218.932  299.434  17.854  0.045  None  Siding_Spring_1m  Sinistro  None
OBS:      59212.068  ip  8655.054  365.633  17.657  0.046  None  Siding_Spring_1m  Sinistro  None
OBS:      59218.294  up  9238.232  9238.232  17.586  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59218.296  gp  16697.261  401.453  16.943  0.026  None  Siding_Spring_1m  Sinistro  None
OBS:      59218.297  rp  6174.862  346.259  18.023  0.061  None  Siding_Spring_1m  Sinistro  None
OBS:      59218.298  ip  7820.221  416.198  17.767  0.058  None  Siding_Spring_1m  Sinistro  None
OBS:      59224.362  up  1775.247  99.157  19.377  0.061  None  Siding_Spring_1m  Sinistro  None
OBS:      59224.364  gp  16137.809  208.903  16.980  0.014  None  Siding_Spring_1m  Sinistro  None
OBS:      59224.365  rp  6065.085  167.458  18.043  0.030  None  Siding_Spring_1m  Sinistro  None
OBS:      59224.366  ip  7008.924  243.884  17.886  0.038  None  Siding_Spring_1m  Sinistro  None
OBS:      59227.663  up  5624.985  5624.985  18.125  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59227.665  gp  14633.251  225.315  17.087  0.017  None  Siding_Spring_1m  Sinistro  None
OBS:      59227.666  rp  4917.137  180.041  18.271  0.040  None  Siding_Spring_1m  Sinistro  None
OBS:      59227.667  ip  6615.734  284.222  17.949  0.047  None  Siding_Spring_1m  Sinistro  None
OBS:      59229.458  up  4411.182  4411.182  18.389  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59229.461  gp  14656.150  236.423  17.085  0.018  None  Siding_Spring_1m  Sinistro  None
OBS:      59229.462  rp  4896.244  219.584  18.275  0.049  None  Siding_Spring_1m  Sinistro  None
OBS:      59229.673  gp  22042.094  22042.094  16.642  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59229.674  rp  30130.545  30130.545  16.302  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59229.675  ip  49921.106  49921.106  15.754  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59236.073  up  7505.075  7505.075  17.812  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59236.076  gp  13286.191  288.677  17.192  0.024  None  Siding_Spring_1m  Sinistro  None
OBS:      59236.077  rp  4254.080  299.980  18.428  0.077  None  Siding_Spring_1m  Sinistro  None
OBS:      59236.078  ip  6474.374  397.496  17.972  0.067  None  Siding_Spring_1m  Sinistro  None
OBS:      59238.431  up  2978.790  2978.790  18.815  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59238.433  gp  12915.243  206.640  17.222  0.017  None  Siding_Spring_1m  Sinistro  None
OBS:      59238.434  rp  4285.948  191.939  18.420  0.049  None  Siding_Spring_1m  Sinistro  None
OBS:      59238.435  ip  6498.146  267.231  17.968  0.045  None  Siding_Spring_1m  Sinistro  None
OBS:      59240.535  up  8064.715  8064.715  17.733  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59240.537  gp  12378.605  236.216  17.268  0.021  None  Siding_Spring_1m  Sinistro  None
OBS:      59241.326  up  33961.724  33961.724  16.172  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59241.329  gp  15532.372  15532.372  17.022  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59241.330  rp  15254.813  15254.813  17.041  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59241.331  ip  23547.899  23547.899  16.570  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59243.989  gp  12814.931  588.317  17.231  0.050  None  Siding_Spring_1m  Sinistro  None
OBS:      59243.990  rp  5592.179  5592.179  18.131  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59243.991  ip  6653.760  610.257  17.943  0.100  None  Siding_Spring_1m  Sinistro  None
OBS:      59248.368  up  4211.681  4211.681  18.439  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59248.372  gp  11415.230  338.166  17.356  0.032  None  Siding_Spring_1m  Sinistro  None
OBS:      59248.373  rp  3926.364  327.481  18.515  0.091  None  Siding_Spring_1m  Sinistro  None
OBS:      59248.374  ip  5349.167  436.164  18.180  0.089  None  Siding_Spring_1m  Sinistro  None
OBS:      59253.055  up  2439.155  2439.155  19.032  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59253.059  gp  10603.489  256.288  17.437  0.026  None  Siding_Spring_1m  Sinistro  None
OBS:      59253.060  rp  4403.485  4403.485  18.391  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59253.061  ip  5188.446  5188.446  18.212  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59259.236  up  8499.921  8499.921  17.676  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59259.239  gp  9273.357  203.609  17.582  0.024  None  Siding_Spring_1m  Sinistro  None
OBS:      59259.240  rp  3316.884  3316.884  18.698  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59259.241  ip  3212.421  3212.421  18.733  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59263.593  up  3802.755  3802.755  18.550  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59263.597  gp  9167.031  219.303  17.595  0.026  None  Siding_Spring_1m  Sinistro  None
OBS:      59263.598  rp  2979.001  2979.001  18.815  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59263.599  ip  5655.867  5655.867  18.119  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59270.551  gp  47781.107  47781.107  15.802  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59270.552  rp  74500.142  74500.142  15.320  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59270.553  ip  158590.078  158590.078  14.499  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59275.354  up  4683.780  4683.780  18.324  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59275.356  gp  8254.766  362.071  17.708  0.048  None  Siding_Spring_1m  Sinistro  None
OBS:      59275.357  rp  4141.881  4141.881  18.457  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59275.358  ip  4873.805  4873.805  18.280  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59280.274  up  602.355  44.336  20.551  0.080  None  Siding_Spring_1m  Sinistro  None
OBS:      59280.280  gp  7678.582  139.806  17.786  0.020  None  Siding_Spring_1m  Sinistro  None
OBS:      59280.281  rp  2146.257  135.147  19.171  0.068  None  Siding_Spring_1m  Sinistro  None
OBS:      59280.282  ip  3557.816  158.683  18.622  0.048  None  Siding_Spring_1m  Sinistro  None
OBS:      59285.188  up  693.537  44.770  20.397  0.070  None  Siding_Spring_1m  Sinistro  None
OBS:      59285.194  gp  7090.687  128.478  17.873  0.020  None  Siding_Spring_1m  Sinistro  None
OBS:      59285.195  rp  1794.385  126.119  19.365  0.076  None  Siding_Spring_1m  Sinistro  None
OBS:      59285.196  ip  3277.191  161.149  18.712  0.053  None  Siding_Spring_1m  Sinistro  None
OBS:      59290.202  up  6422.302  6422.302  17.981  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59290.204  gp  6221.697  185.478  18.016  0.032  None  Siding_Spring_1m  Sinistro  None
OBS:      59290.205  rp  2606.293  2606.293  18.960  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59290.206  ip  2896.801  246.243  18.845  0.092  None  Siding_Spring_1m  Sinistro  None
OBS:      59295.013  gp  4985.350  4985.350  18.256  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59295.014  rp  5661.493  5661.493  18.118  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59295.015  ip  6421.210  6421.210  17.981  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59300.510  up  7635.980  7635.980  17.793  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59300.512  gp  5722.436  505.369  18.106  0.096  None  Siding_Spring_1m  Sinistro  None
OBS:      59300.513  rp  5086.021  5086.021  18.234  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59300.514  ip  6989.973  6989.973  17.889  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59305.221  up  1877.189  1877.189  19.316  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59305.224  gp  5711.591  202.078  18.108  0.038  None  Siding_Spring_1m  Sinistro  None
OBS:      59305.225  rp  2025.375  2025.375  19.234  1.086  None  Siding_Spring_1m  Sinistro  Bad
